,S,A
0,9.72815533980583,4.813486370157822
1,9.716315415581345,4.78909612625538
2,9.704001894387881,4.787661406025826
3,9.692161970163397,4.784074605451933
4,9.680322045938912,4.697274031563847
5,9.668008524745447,4.786226685796272
6,9.656168600520962,4.937589670014347
7,9.644328676296478,4.804878048780489
8,9.632015155103014,4.543041606886661
9,9.61970163390955,4.538737446197991
10,9.608335306654045,4.653515064562411
11,9.59602178546058,4.538737446197991
12,9.583708264267111,4.382352941176474
13,9.571868340042625,4.535868005738883
14,9.560028415818142,4.481348637015785
15,9.547714894624677,4.727403156384504
16,9.535874970400192,4.652080344332857
17,9.524035046175706,4.456241032998566
18,9.511721524982242,4.685796269727407
19,9.49940800378878,4.590387374461981
20,9.488041676533273,4.500000000000002
21,9.475728155339809,4.41248206599713
22,9.463414634146345,4.56814921090387
23,9.45157470992186,4.271162123385937
24,9.439734785697375,4.397417503586798
25,9.427421264503911,4.4447632711621265
26,9.415107743310447,4.382352941176474
27,9.403741416054942,4.500000000000002
28,9.391427894861478,4.359397417503586
29,9.379114373668013,4.340028694404592
30,9.367274449443528,4.429698708751794
31,9.355434525219044,4.369440459110471
32,9.34312100402558,4.363701578192256
33,9.331754676770073,4.137015781922523
34,9.31944115557661,4.454806312769012
35,9.307127634383146,4.293400286944048
36,9.29528771015866,4.354375896700147
37,9.283447785934175,4.330703012912483
38,9.271134264740713,4.354375896700147
39,9.258820743547249,4.032281205164996
40,9.247454416291742,4.319225251076043
41,9.235140895098278,4.334289813486368
42,9.222827373904808,4.363701578192256
43,9.211461046649308,4.274748923959831
44,9.199147525455839,4.192969870875183
45,9.186834004262375,4.281205164992824
46,9.17546767700687,4.276901004304162
47,9.163154155813405,4.177905308464851
48,9.150840634619941,4.137015781922523
49,9.139000710395456,4.005738880918224
50,9.127160786170972,4.175035868005743
51,9.114847264977508,4.296269727403156
52,9.102533743784043,4.058823529411768
53,9.091167416528538,4.299139167862264
54,9.078853895335074,3.9835007173601134
55,9.06654037414161,3.969153515064566
56,9.055174046886103,4.163558106169295
57,9.042860525692639,3.97058823529412
58,9.030547004499176,3.959110473457672
59,9.018707080274691,4.151362984218078
60,9.006867156050205,4.093974175035872
61,8.994553634856741,4.013629842180778
62,8.982713710632257,3.994261119081776
63,8.970873786407772,3.9856527977044443
64,8.958560265214308,3.9806312769010055
65,8.946246744020844,4.154949784791963
66,8.93440681979636,4.001434720229554
67,8.922566895571874,3.3601147776183673
68,8.91025337437841,4.124820659971306
69,8.898413450153926,4.082496413199425
70,8.88657352592944,4.057388809182206
71,8.874260004735977,4.103299856527981
72,8.862420080511491,3.761836441893827
73,8.850580156287007,3.758967001434719
74,8.838266635093543,3.8134863701578174
75,8.826426710869058,3.9383070301291236
76,8.814113189675588,3.865853658536585
77,8.802273265451104,4.001434720229554
78,8.78995974425764,3.5717360114777597
79,8.778593417002133,3.5588235294117663
80,8.766279895808669,3.8134863701578174
81,8.753966374615207,3.3773314203730305
82,8.742126450390721,3.7144906743185064
83,8.730286526166235,3.428981348637013
84,8.717973004972771,3.7869440459110453
85,8.706133080748288,3.84433285509326
86,8.694293156523802,3.595408895265424
87,8.681979635330338,3.567431850789098
88,8.670139711105852,3.591104734576754
89,8.65782618991239,3.830703012912481
90,8.645986265687904,3.225968436154952
