S,A
11.49561923,5.101147776
11.4837793,5.095408895
11.47193938,5.086083214
11.45962586,5.12266858
11.44731234,5.101147776
11.43594601,5.104017217
11.42363249,5.05954089
11.41131897,5.073888092
11.39995264,5.05954089
11.38763912,5.076040172
11.3753256,5.133428981
11.36348567,5.121233859
11.35164575,5.076757532
11.33933223,5.053802009
11.32701871,5.027259684
11.31565238,5.056671449
11.30333886,5.06384505
11.29102534,5.037302726
11.27918541,5.1241033
11.26734549,4.996413199
11.25503197,5.073888092
11.24319204,5.013629842
11.23135212,5.053802009
11.2190386,5.109756098
11.20719867,5.128407461
11.19535875,5.051649928
11.18304523,5.118364419
11.17073171,5.131994261
11.15936538,5.109756098
11.14705186,5.1241033
11.13473834,5.115494978
11.12289841,5.022955524
11.11105849,5.147776184
11.09874497,5.083213773
11.08690504,5.115494978
11.07506512,5.034433286
11.0627516,5.12553802
11.05091167,5.084648494
11.03907175,5.093256815
11.02675823,5.115494978
11.01444471,5.096126255
11.00307838,5.119799139
10.99076486,5.150645624
10.97845134,5.143472023
10.96661141,5.098995696
10.95477149,5.142037303
10.94245797,5.134863702
10.93061804,5.133428981
10.91877812,5.115494978
10.9064646,5.076040172
10.89462467,5.115494978
10.88231115,5.12697274
10.87047123,5.134863702
10.85815771,5.101147776
10.84631778,5.12553802
10.83447786,5.114060258
10.82216434,5.112625538
10.81032441,5.121233859
10.79848449,5.106886657
10.78617097,5.144906743
10.77433104,5.158536585
10.76249112,5.106886657
10.7501776,5.150645624
10.73833767,5.137733142
10.72649775,5.114060258
10.71418423,5.086083214
10.70187071,5.118364419
10.69003078,5.098278336
10.67819086,5.131994261
10.66587734,5.153515065
10.65403741,5.133428981
10.64219749,5.144906743
10.62988397,5.170014347
10.61804404,5.121233859
10.60620412,5.162123386
10.5938906,5.091822095
10.58205067,5.119799139
10.56973715,5.167144907
10.55789723,5.110473458
10.54558371,5.071018651
10.53374378,5.104017217
10.52190386,5.18651363
10.50959034,5.118364419
10.49775041,5.131994261
10.48591049,5.12266858
10.47359697,5.143472023
10.46175704,5.06527977
10.44944352,5.091822095
10.4376036,5.087517934
10.42576368,5.108321377
10.41345015,5.172883788
10.40161023,5.147776184
10.38929671,5.084648494
10.37745678,5.053802009
10.36561686,5.083213773
10.35330334,5.019368723
10.34146341,5.385222382
10.32914989,5.06097561
10.31730997,5.06097561
10.30547004,5.101865136
10.29315652,5.035868006
10.2813166,5.297704448
10.26947668,5.183644189
10.25716315,5.042324247
10.24532323,5.013629842
10.23300971,5.211621234
10.22116978,5.170014347
10.20885626,5.133428981
10.19701634,5.06384505
10.18517641,4.985652798
10.17286289,5.272596844
10.16102297,4.982065997
10.14918305,5.269727403
10.13686952,5.056671449
10.1250296,5.007890961
10.11318968,4.992109039
10.10087615,5.164275466
10.08903623,5.161406026
10.07672271,5.146341463
10.06488278,5.158536585
10.05256926,5.162123386
10.04072934,5.18651363
10.02888942,5.024390244
10.01657589,5.218077475
10.00473597,5.208751793
9.992896045,5.106886657
9.980582524,4.885939742
9.9687426,5.030129125
9.956902676,5.144906743
9.944589155,5.143472023
9.93274923,5.101865136
9.920435709,5.175753228
9.908595785,5.055236729
9.896282264,5.128407461
9.88444234,5.06527977
9.872602415,5.078909613
9.860288894,5.115494978
9.84844897,4.862984218
9.836609046,4.894548063
9.824295525,4.847202296
9.8124556,5.139167862
9.800615676,5.119799139
9.788302155,4.75251076
9.775988634,4.863701578
9.764148709,5.045911047
9.752308785,4.81205165
9.739995264,5.115494978
9.72815534,4.81348637
9.716315416,4.789096126
9.704001894,4.786944046
9.69216197,4.784074605
9.680322046,4.697274032
9.668008525,4.786226686
9.656168601,4.93758967
9.644328676,4.804878049
9.632015155,4.543041607
9.619701634,4.538737446
9.608335307,4.653515065
9.596021785,4.538737446
9.583708264,4.382352941
9.57186834,4.535150646
9.560028416,4.481348637
9.547714895,4.727403156
9.53587497,4.652080344
9.524035046,4.456241033
9.511721525,4.68579627
9.499408004,4.590387374
9.488041677,4.5
9.475728155,4.412482066
9.463414634,4.568149211
9.45157471,4.271162123
9.439734786,4.397417504
9.427421265,4.444045911
9.415107743,4.382352941
9.403741416,4.5
9.391427895,4.359397418
9.379114374,4.340028694
9.367274449,4.429698709
9.355434525,4.369440459
9.343121004,4.363701578
9.331754677,4.137015782
9.319441156,4.454806313
9.307127634,4.293400287
9.29528771,4.354375897
9.283447786,4.330703013
9.271134265,4.354375897
9.258820744,4.032281205
9.247454416,4.319225251
9.235140895,4.334289813
9.222827374,4.363701578
9.211461047,4.274748924
9.199147525,4.192969871
9.186834004,4.280487805
9.175467677,4.276901004
9.163154156,4.177905308
9.150840635,4.137015782
9.13900071,4.005738881
9.127160786,4.175035868
9.114847265,4.296269727
9.102533744,4.058823529
9.091167417,4.299139168
9.078853895,3.984218077
9.066540374,3.969153515
9.055174047,4.163558106
9.042860526,3.970588235
9.030547004,3.959110473
9.01870708,4.151362984
9.006867156,4.094691535
8.994553635,4.012912482
8.982713711,3.994261119
8.970873786,3.984935438
8.958560265,3.981348637
8.946246744,4.154949785
8.93440682,4.00143472
8.922566896,3.360114778
8.910253374,4.12482066
8.89841345,4.082496413
8.886573526,4.057388809
8.874260005,4.103299857
8.862420081,3.761119082
8.850580156,3.758249641
8.838266635,3.81276901
8.826426711,3.93830703
8.81411319,3.865853659
8.802273265,4.00143472
8.789959744,3.571736011
8.778593417,3.558823529
8.766279896,3.81276901
8.753966375,3.37733142
8.74212645,3.714490674
8.730286526,3.428981349
8.717973005,3.786226686
8.706133081,3.843615495
8.694293157,3.595408895
8.681979635,3.567431851
8.670139711,3.591104735
8.65782619,3.830703013
8.645986266,3.225968436
8.633672744,3.494978479
8.62183282,3.241032999
8.609992896,3.619799139
8.597679375,3.616929699
8.585839451,3.102582496
8.573525929,3.255380201
8.561686005,3.840746055
8.549846081,3.147776184
8.53753256,3.197991392
8.525692636,3.2482066
8.513852711,3.520086083
8.50153919,3.327116212
8.489699266,3.293400287
8.477385745,3.231707317
8.465545821,3.165710187
8.453705896,3.190817791
8.441392375,3.31133429
8.429552451,3.196556671
8.41723893,3.280487805
8.405399005,3.207317073
8.393559081,3.37446198
8.381719157,3.154232425
8.369405636,3.296269727
8.357565712,3.241032999
8.34525219,3.177187948
8.333412266,3.152080344
8.321098745,3.296269727
8.309258821,3.118364419
8.297418897,3.197991392
8.285105375,3.12553802
8.273265451,3.035868006
8.26095193,3.1276901
8.249112006,3.097560976
8.237272081,3.052367288
8.22495856,3.180057389
8.213118636,3.118364419
8.201278712,3.164275466
8.188965191,3.116929699
8.177125266,2.93902439
8.164811745,2.965566714
8.152971821,3.140602582
8.141131897,2.989239598
8.128818376,3.225968436
8.116978451,2.809182209
8.10466493,2.964131994
8.092825006,2.902439024
8.080985082,3.196556671
8.068671561,2.959110473
8.056831636,2.965566714
8.044991712,2.482783357
8.032678191,3.223098996
8.02036467,2.729555237
8.008524745,2.50286944
7.996684821,2.986370158
7.984844897,2.771162123
7.972531376,2.990674319
7.960691452,2.87302726
7.94837793,2.768292683
7.936538006,2.898134864
7.924698082,2.232424677
7.912384561,2.449067432
7.900544637,2.81492109
7.888704712,2.680057389
7.876391191,2.408177905
7.864551267,3.018651363
7.852237746,2.68866571
7.840397821,2.408895265
7.8280843,2.839311334
7.816244376,2.166427547
7.804404452,2.31061693
7.792090931,2.111908178
7.780251006,2.220946915
7.768411082,2.085365854
7.756097561,2.06312769
7.744257637,2.150645624
7.732417713,1.985652798
7.720104191,2.169296987
7.708264267,2.403156385
7.695950746,2.197274032
7.684110822,1.963414634
7.6717973,1.93974175
7.659957376,1.914634146
7.648117452,1.892395983
7.635803931,1.969153515
7.623964007,1.988522238
7.612124082,1.904591105
7.599810561,1.969153515
7.587970637,1.961262554
7.576130713,1.977044476
7.563817192,1.929698709
7.55150367,1.860832138
7.539663746,1.867288379
7.527823822,1.914634146
7.515510301,1.725968436
7.503670377,1.920373027
7.491830452,1.807747489
7.479516931,1.87517934
7.467677007,1.799856528
7.455363486,1.649928264
7.443523561,1.648493544
7.431683637,1.799856528
7.419370116,1.844332855
7.407530192,1.93687231
7.395216671,1.830703013
7.383376746,1.655667145
7.371536822,1.914634146
7.359223301,1.578909613
7.347383377,1.824964132
7.335069856,1.816355811
7.323229931,1.804160689
7.311390007,1.81492109
7.299076486,1.581779053
7.287236562,1.618364419
7.27492304,1.510043042
7.263083116,1.535150646
7.251243192,1.445480631
7.238929671,1.643472023
7.227089747,1.654232425
7.215249822,1.445480631
7.202936301,1.545911047
7.191096377,0.719512195
7.178782856,1.37733142
7.166942932,1.540889527
7.155103007,0.930416069
7.142789486,0.906743185
7.130949562,0.715925395
7.118636041,1.30989957
7.106796117,1.56456241
7.094956192,1.301291248
7.082642671,0.899569584
7.070802747,0.901004304
7.058489226,0.721664275
7.046649301,1.490674319
7.034809377,1.340746055
7.022495856,0.694404591
7.010655932,0.894548063
6.998816008,0.912482066
6.986502486,0.906743185
6.974662562,0.325681492
6.962349041,0.703730273
6.950509117,0.464131994
6.938669193,0.715925395
6.926355671,0.758249641
6.914515747,0.492826399
6.902675823,0.709469154
6.890362302,0.302008608
6.878522377,0.299139168
6.866208856,0.318507891
6.854368932,0.302725968
6.842055411,0.304878049
6.830215487,0.307747489
6.818375562,0.31348637
6.806062041,0.697991392
6.794222117,0.302008608
6.782382193,0.296987088
6.770068672,0.307747489
6.758228747,0.238880918
6.745915226,0.31061693
6.734075302,0.253228121
6.722235378,0.254662841
6.709921857,0.287661406
6.698081932,0.31276901
6.685768411,0.300573888
6.673928487,0.315638451
6.662088563,0.156384505
6.649775041,0.279770445
6.637935117,0.290530846
6.625621596,0.241750359
6.613781672,0.293400287
6.601941748,0.236011478
6.589628226,0.177187948
6.577788302,0.094691535
6.565948378,0.101865136
6.553634857,0.154949785
6.541794933,0.177187948
6.529481411,0.169296987
6.517641487,0.180774749
6.505801563,0.309182209
6.493488042,0.171449067
6.481648117,0.100430416
6.469334596,0.104734577
6.457494672,0.152797704
6.445654748,0.132711621
6.433341227,0.104734577
6.421501302,0.171449067
6.409187781,0.097560976
6.397347857,0.106169297
6.385507933,0.086800574
6.373194412,0.220946915
6.361354487,0.163558106
6.349514563,0.098278336
6.337201042,0.098278336
6.325361118,0.101865136
6.313047596,0.146341463
6.301207672,0.103299857
6.288894151,0.086083214
6.277054227,0.083931133
6.265214303,0.086800574
6.253374378,0.088952654
6.241060857,0.089670014
6.229220933,0.083931133
6.216907412,0.091822095
6.205067488,0.081061693
6.192753966,0.088952654
6.180914042,0.072453372
6.169074118,0.075322812
6.156760597,0.073888092
6.144920673,0.072453372
6.133080748,0.075322812
6.120767227,0.072453372
6.108927303,0.137015782
6.096613782,0.088952654
6.084773857,0.072453372
6.072933933,0.072453372
6.060620412,0.088952654
6.048780488,0.073888092
6.036466967,0.091822095
6.024627042,0.089670014
6.012787118,0.086800574
6.000473597,0.100430416
5.988633673,0.072453372
5.976793749,0.072453372
5.964480227,0.073888092
5.952640303,0.072453372
5.940326782,0.089670014
5.928486858,0.072453372
5.916173336,0.072453372
5.904333412,0.073888092
5.892493488,0.072453372
5.880179967,0.072453372
5.868340043,0.072453372
5.856500118,0.072453372
5.844186597,0.075322812
5.832346673,0.072453372
5.820033152,0.072453372
5.808193228,0.073888092
5.796353303,0.072453372
5.784039782,0.075322812
5.772199858,0.075322812
5.760359934,0.072453372
5.748046413,0.072453372
5.736206488,0.073888092
5.723892967,0.072453372
5.712053043,0.075322812
5.699739522,0.073888092
5.687899597,0.073888092
5.676059673,0.073888092
5.663746152,0.073888092
5.651906228,0.073888092
5.640066304,0.072453372
5.627752782,0.075322812
5.615912858,0.072453372
5.603599337,0.072453372
5.591759413,0.072453372
5.579919489,0.072453372
5.567605967,0.072453372
5.555766043,0.075322812
5.543452522,0.072453372
5.531612598,0.073888092
5.519772673,0.072453372
5.507459152,0.073888092
5.495619228,0.075322812
