S,A
2.357,1.131
2.352,1.142
2.347,1.142
2.342,1.152
2.337,1.142
2.332,1.142
2.33,1.131
2.325,1.142
2.32,1.142
2.315,0.907
2.31,1.152
2.305,0.917
2.3,1.142
2.297,1.131
2.293,1.152
2.287,0.907
2.283,1.152
2.277,1.131
2.275,0.917
2.27,0.907
2.265,0.907
2.26,0.897
2.255,0.907
2.25,0.897
2.247,0.917
2.243,0.907
2.237,0.897
2.232,0.917
2.227,0.877
2.225,0.907
2.22,0.887
2.215,0.887
2.21,0.897
2.207,0.907
2.202,0.897
2.197,0.897
2.192,0.897
2.19,0.917
2.185,0.917
2.18,0.907
2.175,0.907
2.172,0.887
2.168,0.897
2.162,0.897
2.158,0.897
2.155,0.897
2.15,0.897
2.145,0.907
2.142,0.897
2.138,0.887
2.132,0.907
2.128,0.897
2.125,0.917
2.12,0.897
2.115,0.897
2.112,0.897
2.107,0.897
2.102,0.133
2.1,0.917
2.095,0.897
2.09,0.917
2.087,0.887
2.082,0.133
2.077,0.122
2.075,0.917
2.07,0.143
2.065,0.133
2.062,0.907
2.057,0.122
2.053,0.133
2.05,0.122
2.045,0.122
2.04,0.133
2.037,0.122
2.033,0.143
2.03,0.133
2.025,0.122
2.02,0.133
2.017,0.112
2.013,0.112
2.007,0.122
2.005,0.133
2,0.112
1.997,0.133
1.992,0.122
1.987,0.112
1.985,0.112
1.985,0.133
1.985,0.122
1.981,0.02
1.977,0.02
1.973,0.01
1.969,0.041
1.965,0.041
1.961,0.02
1.957,0.02
1.953,0.02
1.95,0.031
1.946,0.02
1.942,0.02
1.938,0.02
1.934,0.02
1.93,0.031
1.926,0.01
1.922,0.01
1.919,0.01
1.915,0.01
1.911,0.02
1.907,0.02
