S,A
10.169,4.889
10.149,4.913
10.129,4.899
10.109,4.929
10.089,4.939
10.068,4.927
10.047,4.878
10.028,4.927
10.007,4.897
9.988,4.897
9.967,4.868
9.948,4.886
9.927,4.887
9.909,4.907
9.889,4.915
9.869,4.871
9.849,4.905
9.829,4.875
9.81,4.892
9.79,4.903
9.77,4.916
9.751,4.922
9.731,4.922
9.712,4.908
9.693,4.914
9.674,4.893
9.654,4.891
9.635,4.891
9.615,4.893
9.596,4.906
9.577,4.887
9.557,4.887
9.539,4.918
9.52,4.86
9.501,4.895
9.481,4.905
9.462,4.87
9.444,4.871
9.425,4.887
9.406,4.912
9.387,4.921
9.369,4.919
9.35,4.891
9.331,4.889
9.312,4.891
9.294,4.915
9.275,4.936
9.256,4.891
9.239,4.897
9.22,4.917
9.201,4.913
9.182,4.923
9.165,4.897
9.146,4.894
9.129,4.888
9.11,4.891
9.091,4.889
9.074,4.927
9.055,4.933
9.037,4.928
9.019,4.876
9.001,4.918
8.984,4.883
8.965,4.909
8.948,4.886
8.93,4.929
8.911,4.906
8.894,4.902
8.876,4.886
8.859,4.886
8.841,4.9
8.823,4.884
8.805,4.891
8.787,4.908
8.77,4.795
8.752,4.895
8.735,4.905
8.717,4.758
8.7,4.928
8.682,4.768
8.665,4.752
8.649,4.765
8.631,4.905
8.614,4.745
8.596,4.765
8.58,4.77
8.562,4.899
8.545,4.762
8.528,4.774
8.511,4.766
8.494,4.769
8.477,4.778
8.46,4.751
8.444,4.782
8.426,4.783
8.41,4.782
8.392,4.737
8.376,4.735
8.359,3.952
8.342,4.773
8.326,4.748
8.309,4.751
8.292,3.969
8.276,4.775
8.26,4.741
8.242,4.789
8.226,4.766
8.21,4.751
8.194,4.758
8.177,4.768
8.161,4.754
8.145,4.749
8.129,4.762
8.113,3.974
8.096,4.738
8.08,3.994
8.064,4
8.047,3.997
8.031,3.994
8.015,3.981
8,4.013
7.984,4.002
7.967,3.967
7.951,3.996
7.936,3.991
7.92,3.987
7.904,3.987
7.889,4.01
7.872,3.978
7.856,4.014
7.841,4.018
7.825,3.984
7.81,3.956
7.794,3.97
7.779,3.993
7.762,3.983
7.747,3.989
7.732,3.865
7.716,3.988
7.701,3.843
7.686,3.965
7.67,3.849
7.655,3.85
7.64,3.825
7.625,4.005
7.609,3.977
7.594,3.805
