S,A
4.7,2.054
4.693,2.031
4.682,2.031
4.673,2.048
4.662,2.048
4.655,2.047
4.645,2.044
4.635,2.032
4.628,2.028
4.617,2.026
4.608,2.039
4.597,2.049
4.59,2.025
4.58,2.04
4.57,2.015
4.562,2.014
4.552,2.017
4.545,2.017
4.535,2.01
4.525,2.019
4.517,2.018
4.507,2.016
4.497,2.02
4.49,2.026
4.48,2.014
4.472,2.026
4.463,1.995
4.455,2.018
4.445,2.014
4.435,2.015
4.427,2.009
4.418,2.036
4.41,2.042
4.4,2.039
4.392,2.047
4.382,2.021
4.375,2.028
4.365,2.037
4.358,2.041
4.347,2.039
4.34,2.041
4.33,2.039
4.322,2.013
4.312,2.034
4.305,2.043
4.298,2.037
4.287,2.048
4.28,2.041
4.27,2.04
4.262,2.021
4.253,2.033
4.245,2.022
4.237,2.047
4.227,2.049
4.22,2.036
4.213,2.017
4.202,2.045
4.195,2.04
4.185,2.024
4.177,2.017
4.17,2.039
4.16,2.009
4.152,2.032
4.145,2.001
4.135,2.004
4.128,1.998
4.12,1.998
4.112,1.998
4.102,2.021
4.095,1.998
4.088,1.995
4.077,1.998
4.07,1.994
4.062,1.998
4.055,1.982
4.045,1.99
4.037,1.994
4.03,2
4.023,2.003
4.015,1.994
4.005,2.007
3.997,2.027
3.99,2.014
3.982,2.004
3.975,1.968
3.965,2.014
3.957,2.022
3.95,2.003
3.942,1.985
3.935,2.023
3.928,2.017
3.918,2.011
3.91,2.023
3.902,2.012
3.895,2.007
3.887,2.007
3.88,1.88
3.872,2.023
3.865,1.995
3.857,2.001
3.85,1.834
3.84,1.323
3.832,1.851
3.825,1.309
3.817,1.173
3.81,1.846
3.803,1.18
3.795,1.31
3.787,1.846
3.78,1.187
3.772,1.163
3.765,1.306
3.757,1.849
3.75,1.159
3.742,1.307
3.735,1.167
3.727,1.852
3.72,1.186
3.712,1.163
3.705,1.829
3.697,1.173
3.69,1.149
3.682,1.186
3.675,1.208
3.668,0.736
3.66,1.17
3.655,0.791
3.647,0.778
3.64,0.786
3.632,0.808
3.625,0.769
3.617,0.775
3.61,1.191
3.602,0.767
3.595,0.785
3.587,0.765
3.582,1.2
3.575,0.778
3.567,1.176
3.56,0.77
3.553,0.789
3.545,0.764
3.537,0.768
3.533,0.779
