,S,A
0,11.495619228036936,5.1011477761836455
1,11.483779303812451,5.095408895265422
2,11.471939379587967,5.086083213773313
3,11.459625858394503,5.122668579626971
4,11.447312337201039,5.1011477761836455
5,11.435946009945534,5.104017216642753
6,11.42363248875207,5.0595408895265415
7,11.411318967558605,5.073888091822097
8,11.399952640303098,5.0595408895265415
9,11.387639119109634,5.076040172166428
10,11.375325597916172,5.133428981348638
11,11.363485673691686,5.121233859397417
12,11.3516457494672,5.077474892395982
13,11.339332228273742,5.053802008608321
14,11.32701870708028,5.027259684361549
15,11.315652379824773,5.056671449067434
16,11.303338858631308,5.064562410329988
17,11.291025337437844,5.037302725968435
18,11.27918541321336,5.124103299856529
19,11.267345488988875,4.996413199426111
20,11.25503196779541,5.073888091822097
21,11.243192043570927,5.014347202295552
22,11.231352119346441,5.053802008608321
23,11.219038598152977,5.109756097560978
24,11.207198673928492,5.128407460545195
25,11.195358749704008,5.05164992826399
26,11.183045228510544,5.1183644189383095
27,11.17073170731708,5.131994261119084
28,11.159365380061573,5.109756097560978
29,11.14705185886811,5.124103299856529
30,11.13473833767464,5.115494978479197
31,11.122898413450155,5.022955523672883
32,11.11105848922567,5.147776183644189
33,11.098744968032207,5.083213773314205
34,11.086905043807722,5.115494978479197
35,11.075065119583236,5.034433285509327
36,11.062751598389772,5.125538020086083
37,11.050911674165288,5.084648493543759
38,11.039071749940803,5.093256814921091
39,11.026758228747338,5.115494978479197
40,11.014444707553874,5.096126255380203
41,11.00307838029837,5.1197991391678634
42,10.990764859104905,5.150645624103301
43,10.97845133791144,5.143472022955524
44,10.966611413686955,5.098995695839311
45,10.954771489462471,5.14203730272597
46,10.942457968269007,5.134863701578192
47,10.930618044044522,5.133428981348638
48,10.918778119820038,5.115494978479197
49,10.906464598626574,5.076040172166428
50,10.894624674402088,5.115494978479197
51,10.882311153208624,5.127690100430418
52,10.870471228984139,5.134863701578192
53,10.858157707790676,5.1011477761836455
54,10.84631778356619,5.125538020086083
55,10.834477859341705,5.114060258249643
56,10.82216433814824,5.112625538020086
57,10.810324413923757,5.121233859397417
58,10.798484489699272,5.106886657101866
59,10.786170968505807,5.144906743185078
60,10.774331044281324,5.1585365853658525
61,10.762491120056838,5.106886657101866
62,10.750177598863369,5.150645624103301
63,10.738337674638883,5.137733142037304
64,10.7264977504144,5.114060258249643
65,10.714184229220935,5.086083213773313
66,10.70187070802747,5.1183644189383095
67,10.690030783802985,5.098278335724534
68,10.678190859578502,5.131994261119084
69,10.665877338385037,5.153515064562409
70,10.654037414160552,5.133428981348638
71,10.642197489936066,5.144906743185078
72,10.629883968742604,5.1700143472022955
73,10.618044044518118,5.121233859397417
74,10.606204120293633,5.162123385939741
75,10.593890599100169,5.092539454806314
76,10.582050674875685,5.1197991391678634
77,10.56973715368222,5.167144906743184
78,10.557897229457735,5.111190817790532
79,10.545583708264271,5.0710186513629845
80,10.533743784039787,5.104017216642753
81,10.521903859815302,5.186513629842183
82,10.509590338621837,5.1183644189383095
83,10.497750414397352,5.131994261119084
84,10.485910490172868,5.122668579626971
85,10.473596968979404,5.143472022955524
86,10.461757044754918,5.065279770444765
87,10.449443523561454,5.092539454806314
88,10.43760359933697,5.0875179340028716
89,10.425763675112485,5.1083213773314196
90,10.41345015391902,5.172883787661408
91,10.401610229694537,5.147776183644189
92,10.389296708501073,5.084648493543759
93,10.377456784276587,5.053802008608321
