S,A
12.81165312,0.00112753
12.83875339,-0.001720966
12.86133695,0.002551777
12.88843722,-0.000296718
12.91553749,0.00112753
12.94263776,0.002551777
12.96522132,0.002551777
12.99232159,-0.00599371
13.01942186,-0.004569462
13.04652213,0.002551777
13.06910569,-0.001720966
13.09620596,-0.000296718
13.12330623,0.002551777
13.1504065,-0.001720966
13.17750678,-0.000296718
13.20460705,-0.000296718
13.22719061,-0.004569462
13.25429088,-0.000296718
13.28139115,-0.00599371
13.30849142,-0.000296718
13.33559169,0.003976025
13.36269196,-0.000296718
13.38979223,0.003976025
13.4168925,-0.000296718
13.44399277,0.002551777
13.46657633,-0.001720966
13.4936766,0.003976025
13.52529359,-0.001720966
13.55239386,0.002551777
13.57949413,0.005400273
13.60207769,-0.001720966
13.62917796,0.002551777
13.65627823,-0.001720966
13.6833785,-0.003145214
13.71047877,0.005400273
13.74209575,0.00112753
13.76919603,0.003976025
13.7962963,0.00112753
13.82339657,0.003976025
13.85049684,0.00112753
13.87759711,0.00112753
13.90469738,-0.003145214
13.93631436,-0.001720966
13.96341463,0.00112753
13.99051491,0.00112753
14.01761518,-0.000296718
14.04471545,-0.001720966
14.07633243,0.003976025
14.1034327,0.00112753
14.13053297,-0.004569462
14.16214995,0.003976025
14.18925023,-0.001720966
14.2163505,0.00112753
14.24345077,0.002551777
14.27506775,-0.000296718
14.30216802,0.00112753
14.32926829,0.002551777
14.35636856,-0.000296718
14.38798555,-0.000296718
14.41508582,-0.000296718
14.4467028,-0.003145214
14.47380307,0.00112753
14.50090334,-0.001720966
14.53252033,0.00112753
14.5596206,-0.000296718
14.59123758,0.002551777
14.61833785,0.002551777
14.64995483,-0.003145214
14.6770551,-0.000296718
14.70867209,0.00112753
14.73577236,-0.000296718
14.76738934,0.00112753
14.79448961,-0.000296718
14.82610659,-0.001720966
14.85320687,0.002551777
14.88482385,-0.000296718
14.91644083,0.00112753
14.9435411,0.003976025
14.97515808,0.002551777
15.00677507,0.002551777
15.03387534,-0.000296718
15.06549232,-0.001720966
15.0971093,-0.003145214
15.12420958,-0.000296718
15.15582656,0.00112753
15.18744354,0.002551777
15.21454381,-0.000296718
15.24616079,-0.000296718
15.27777778,0.00112753
15.30939476,0.002551777
15.33649503,-0.001720966
15.36811201,0.002551777
15.399729,-0.003145214
15.43134598,0.00112753
15.45844625,-0.001720966
15.49006323,0.005400273
15.52168022,0.00112753
15.5532972,0.00112753
15.58491418,0.003976025
15.61653117,-0.001720966
15.64814815,0.00112753
15.67976513,-0.000296718
15.71138211,0.002551777
15.7429991,-0.000296718
15.77461608,-0.000296718
15.80623306,0.003976025
15.83785005,-0.001720966
15.86495032,0.00112753
15.90108401,0.003976025
15.93270099,-0.000296718
15.96431798,-0.000296718
15.99593496,-0.004569462
16.02755194,-0.003145214
16.05916893,0.00112753
16.09078591,0.002551777
16.1269196,-0.003145214
16.15853659,-0.000296718
16.19015357,0.002551777
16.22177055,-0.000296718
16.25338753,-0.000296718
16.28952123,-0.000296718
16.32113821,-0.000296718
16.35275519,0.00112753
16.38437218,-0.000296718
16.41598916,0.002551777
16.45212285,0.002551777
16.48373984,0.005400273
16.51535682,-0.000296718
16.55149051,-0.000296718
16.5831075,0.00112753
16.61472448,-0.001720966
16.65085818,0.00112753
16.68247516,-0.000296718
16.71409214,0.002551777
16.75022584,0.002551777
16.78184282,-0.001720966
16.8134598,0.002551777
16.8495935,0.002551777
16.88121048,0.00112753
16.91734417,0.00112753
16.94896116,-0.004569462
16.98509485,0.003976025
17.02122855,0.00112753
17.05284553,0.00112753
17.08897922,-0.003145214
17.12059621,-0.000296718
17.1567299,0.00112753
17.18834688,-0.003145214
17.22448058,-0.000296718
17.26061427,-0.000296718
17.29223126,0.00112753
17.32836495,-0.000296718
17.35998193,-0.001720966
17.39611563,0.003976025
17.43224932,0.006824521
17.46838302,0.002551777
17.50451671,0.00112753
17.53613369,-0.000296718
17.57226739,0.002551777
17.60840108,-0.000296718
17.64001807,0.003976025
17.67615176,0.003976025
17.71228546,-0.001720966
17.74841915,0.003976025
17.78455285,-0.000296718
17.82068654,0.002551777
17.85682023,0.00112753
17.89295393,0.00112753
17.92908762,-0.001720966
17.96070461,-0.003145214
18.00135501,0.00112753
18.032972,0.00112753
18.0736224,0.002551777
18.1097561,0.00112753
18.14588979,0.005400273
18.18202349,-0.000296718
18.21815718,-0.001720966
18.25429088,-0.000296718
18.29042457,0.002551777
18.32655827,-0.001720966
18.36269196,0.003976025
18.39882565,-0.000296718
18.43947606,0.003976025
18.47109304,0.002551777
18.51174345,-0.003145214
18.54787715,0.00112753
18.58401084,-0.003145214
18.62014453,-0.000296718
18.66079494,-0.000296718
18.69692864,-0.001720966
18.73306233,0.002551777
18.77371274,0.002551777
18.80984643,-0.000296718
18.84598013,-0.001720966
18.88663053,-0.000296718
18.92276423,0.00112753
18.95889792,0.00112753
18.99503162,0.006824521
19.03568202,-0.003145214
19.07633243,0.002551777
19.11246612,-0.004569462
19.14859982,-0.003145214
19.18925023,0.00112753
19.22538392,1.493264495
19.26603433,0.002551777
19.30668473,0.00112753
19.34281843,0.005400273
19.38346883,0.002551777
19.41960253,0.002551777
19.46025294,1.500623108
19.49638663,-0.000296718
19.53703704,0.00112753
19.57768744,-0.000296718
19.61382114,0.00112753
19.65447154,0.002551777
19.69512195,1.484719008
19.73577236,0.00112753
19.77190605,-0.000296718
19.81255646,1.490415999
19.85320687,-0.000296718
19.88934056,1.488991751
19.92999097,1.490415999
19.97064137,-0.001720966
20.01129178,1.493264495
20.05194219,-0.000296718
20.09259259,1.494688743
20.133243,-0.001720966
20.16937669,1.486143256
20.2100271,1.490415999
20.25067751,1.494688743
20.29584463,1.486143256
20.33649503,1.487567503
20.37262873,1.488991751
20.41779584,0.003976025
20.45844625,1.497774613
20.49457995,1.497774613
20.53974706,1.486143256
20.58039747,0.00112753
20.62104788,1.500623108
20.66169828,1.5063201
20.70234869,1.494688743
20.7429991,1.487567503
20.78816621,1.480446264
20.82881662,1.500623108
20.86946703,1.480446264
20.91463415,1.477597769
20.95528455,1.499198861
20.99593496,1.493264495
21.03658537,1.507744348
21.07723577,1.504895852
21.12240289,1.486143256
21.1630533,1.494688743
21.20822042,1.504895852
21.24887082,1.493264495
21.28952123,1.493264495
21.33468835,1.490415999
21.37533875,1.490415999
21.42050587,1.497774613
21.46115628,1.486143256
21.5063234,1.493264495
21.55149051,1.487567503
21.59214092,1.490415999
21.63279133,1.493264495
21.67795845,1.5063201
21.72312556,1.490415999
21.76377597,1.488991751
21.80894309,1.496350365
21.8495935,1.488991751
21.89476061,1.487567503
21.93992773,1.493264495
21.98509485,1.488991751
22.02574526,1.497774613
22.07091238,1.476173521
22.11607949,1.504895852
22.16124661,1.500623108
22.20641373,1.496350365
22.24706414,1.491840247
22.29223126,1.484719008
22.33739837,1.491840247
22.38256549,1.493264495
22.42773261,1.503471604
22.47289973,1.496350365
22.51806685,1.500623108
22.56323397,1.487567503
22.60840108,1.502047356
22.6535682,1.494688743
22.69873532,1.477597769
22.74390244,1.500623108
22.78906956,1.488991751
22.83423668,1.496350365
22.87940379,1.493264495
22.92457091,1.494688743
22.96973803,1.487567503
23.01942186,1.496350365
23.06458898,1.493264495
23.1097561,1.493264495
23.15492322,1.497774613
23.20460705,1.486143256
23.24977416,1.496350365
23.29494128,1.493264495
23.34462511,1.486143256
23.38979223,1.488991751
23.43495935,1.504895852
23.48464318,1.488991751
23.5298103,1.480446264
23.57497742,1.494688743
23.62466125,1.490415999
23.66982836,1.484719008
23.7195122,1.480446264
23.76467931,1.47047653
23.81436314,1.507744348
23.85953026,1.494688743
23.90921409,1.497774613
23.95889792,1.500623108
24.00406504,1.496350365
24.05374887,1.496350365
24.09891599,1.491840247
24.15311653,1.497774613
24.19828365,1.494688743
24.24796748,1.488991751
24.29765131,1.499198861
24.34281843,1.493264495
24.39250226,1.494688743
24.44218609,1.497774613
24.49186992,1.490415999
24.53703704,1.488991751
24.58672087,1.497774613
24.64092141,1.491840247
24.68608853,1.490415999
24.73577236,1.502047356
24.78545619,1.504895852
24.83514002,1.486143256
24.88482385,1.484719008
24.93902439,1.502047356
24.98419151,7.35451902
25.03839205,1.487567503
25.08355917,1.500623108
25.13775971,1.502047356
25.18744354,1.491840247
25.23712737,1.487567503
25.2868112,1.487567503
25.34101174,1.494688743
25.39069557,1.502047356
25.4403794,1.493264495
25.49006323,1.493264495
25.53974706,1.491840247
25.58943089,7.419322295
25.64363144,7.364726129
25.69331527,7.343125037
25.74751581,7.388938342
25.79719964,1.490415999
25.84688347,1.499198861
25.90108401,7.416236425
