S,STD
13.0976155,0.029387975
13.25484352,0.026961445
13.36363636,0.022917228
13.52533532,0.022917228
13.62965723,0.019681855
13.79657228,0.023726072
13.90461997,0.022917228
14.07600596,0.031005662
14.18852459,0.052844432
14.35991058,0.106228094
14.47690015,0.150714478
14.64828614,0.207333513
14.76527571,0.22351038
14.94560358,0.220275007
15.06780924,0.244540307
15.24813711,0.240496091
15.36959762,0.197627393
15.55439642,0.183068212
15.68107303,0.151523322
15.87034277,0.132919925
15.99627422,0.147479105
16.1900149,0.193583176
16.32116244,0.255055271
16.51490313,0.699919116
16.64977645,0.742787813
16.85320417,0.807495282
16.9880775,0.843084389
17.19076006,0.883526557
17.32637854,0.636020491
17.53800298,0.737934753
17.6780924,0.779994608
17.89418778,0.98544082
18.0342772,1.182798598
18.25484352,1.259638717
18.39940387,1.178754381
18.62518629,1.184416285
18.77347243,1.110002696
18.99925484,1.155297924
19.15201192,1.154489081
19.38226528,1.13022378
19.54023845,1.006470747
19.77421759,0.917497978
19.93219076,0.755729307
20.17138599,0.810730655
20.33830104,0.962793206
20.58122206,1.108385009
20.74366617,1.177136695
20.99627422,1.200593152
21.16766021,1.845241305
21.42026826,1.873550822
21.59165425,2.130763009
21.85320417,2.381504449
22.0290611,2.448638447
22.29508197,2.195470477
22.56110283,2.134807226
22.74590164,2.129954166
23.02086438,2.03208412
23.20566319,2.129145322
23.48509687,1.964141278
23.67436662,2.354812618
23.96274218,2.412240496
24.15201192,2.527905096
24.44113264,2.45187382
24.63934426,2.535184686
24.9366617,2.862766244
25.13934426,3.092477757
25.44187779,3.760582367
25.64456036,4.52574818
25.95529061,4.592073335
26.16318927,4.206255055
26.47839046,4.062280938
26.69076006,3.586681046
27.01043219,2.68562955
27.23174367,2.645996225
27.56035768,2.556214613
27.78166915,2.170396333
28.11549925,2.036128336
28.34053651,1.838770558
28.68330849,1.630088973
28.91356185,1.493394446
29.26005961,1.194931248
29.49925484,1.033162578
29.85543964,0.996764627
30.09463487,0.74197897
30.45529061,0.664330008
30.70342772,0.558371529
31.07302534,0.445942303
31.32563338,0.440280399
31.69970194,0.403882448
31.95678092,0.408735508
32.33979136,0.416015098
32.60134128,0.348072257
32.99329359,0.387705581
33.25931446,0.335939606
33.6609538,0.314909679
33.9314456,0.314909679
34.34128167,0.331086546
34.61624441,0.272849825
35.03576751,0.318953896
35.31520119,0.316527366
35.74366617,0.377190617
36.02757079,0.400647075
36.46497765,0.420868159
36.75782414,0.386087894
37.19970194,0.387705581
37.49776453,0.326233486
